# m_med gq
350.991 0.304376666667
401.99 0.237843333333
449.97 0.277671666667
501.402 0.281678333333
550.554 0.21332
599.882 0.173833333333
651.202 0.159566833333
698.909 0.154803666667
801.321 0.0893548333333
850.902 0.0908048333333
891.242 0.0823885
948.117 0.0757956666667
1001.37 0.0779756666667
1049.25 0.100259333333
1100.73 0.113039166667
1150.32 0.11522
1201.66 0.103877166667
1249.28 0.0855906666667
1302.54 0.0885016666667
1354.02 0.1005505
1451.52 0.131594
1549.09 0.173601666667
1596.83 0.175783333333
1701.63 0.199515
1751.32 0.21851
1799.12 0.228366666667
1852.39 0.233105
1900.07 0.224321666667
1951.3 0.196165
2002.82 0.212965
2100.49 0.272518333333
2199.81 0.301368333333
2300.82 0.305728333333
2401.68 0.287063333333
2600.81 0.424076666667
2701.93 0.446713333333
